block_id,block_name,ward,lat,lon,building_density,green_cover,road_density,avg_building_height,distance_to_water,impervious_surface_fraction,lst
DEL-0214,Okhla Industrial Block-214,Okhla Industrial,28.518678,77.26705,0.5826,0.0946,18.32,15.9,5.17,0.95,47.8
DEL-0215,Rohini Block-215,Rohini,28.733359,76.881253,0.132,0.468,8.18,3.0,34.74,0.5301,38.0
DEL-0216,Dwarka Block-216,Dwarka,28.52439,76.872392,0.1728,0.5332,6.18,9.7,41.14,0.401,37.0
DEL-0217,Dwarka Block-217,Dwarka,28.563176,77.036938,0.405,0.2385,14.3,14.7,24.52,0.7641,44.1
DEL-0218,Yamuna Floodplains Block-218,Yamuna Floodplains,28.748456,77.24096,0.2249,0.4256,9.07,11.7,0.2,0.4962,37.2
DEL-0219,Shahdara Block-219,Shahdara,28.705838,77.32402,0.3911,0.1395,15.28,17.1,6.86,0.921,44.9
DEL-0220,Rohini Block-220,Rohini,28.793658,76.930696,0.2798,0.3918,10.82,13.1,28.83,0.6879,41.2
DEL-0221,Pitampura Block-221,Pitampura,28.70935,77.139241,0.4515,0.2808,8.52,11.9,10.8,0.7056,41.1
DEL-0222,Janakpuri Block-222,Janakpuri,28.670056,77.039019,0.3703,0.2254,6.84,13.6,20.81,0.5982,40.2
DEL-0223,Okhla Industrial Block-223,Okhla Industrial,28.461217,77.31586,0.3476,0.2576,6.16,8.0,2.5,0.5154,39.3
DEL-0224,Lajpat Nagar Block-224,Lajpat Nagar,28.581795,77.255796,0.5095,0.01,16.14,11.6,3.9,0.95,45.7
DEL-0225,Nehru Place Block-225,Nehru Place,28.536689,77.254014,0.5275,0.01,17.24,22.5,5.66,0.95,47.1
DEL-0226,IGI Airport Area Block-226,IGI Airport Area,28.527355,77.080286,0.3016,0.3495,8.2,11.0,21.98,0.6174,42.2
DEL-0227,Narela Block-227,Narela,28.848125,77.054965,0.2747,0.3692,4.03,8.5,16.05,0.3927,37.2
DEL-0228,Dwarka Block-228,Dwarka,28.592963,76.988501,0.3781,0.3294,11.84,13.2,28.12,0.7596,42.4
DEL-0229,Rohini Block-229,Rohini,28.8125,76.886496,0.2381,0.3349,7.28,6.2,32.7,0.4478,38.1
DEL-0230,Yamuna Floodplains Block-230,Yamuna Floodplains,28.697701,77.26642,0.2989,0.4106,9.97,9.7,1.62,0.6468,38.6
DEL-0231,Yamuna Floodplains Block-231,Yamuna Floodplains,28.769717,77.242063,0.0776,0.3837,2.78,10.7,2.2,0.2074,34.9
DEL-0232,Mayur Vihar Block-232,Mayur Vihar,28.64116,77.329867,0.5272,0.1538,12.91,14.3,5.4,0.95,45.5
DEL-0233,Shahdara Block-233,Shahdara,28.673838,77.328419,0.4241,0.2143,13.99,9.4,6.27,0.7987,42.5
DEL-0234,Janakpuri Block-234,Janakpuri,28.636708,77.121053,0.3727,0.2539,10.03,17.0,14.36,0.7203,42.3
DEL-0235,Saket Block-235,Saket,28.505907,77.221424,0.4303,0.2462,13.62,16.8,9.74,0.8413,42.4
DEL-0236,Shahdara Block-236,Shahdara,28.737879,77.30404,0.3136,0.3144,5.89,13.6,6.38,0.4623,40.2
DEL-0237,Nehru Place Block-237,Nehru Place,28.54354,77.259334,0.5677,0.1036,16.17,13.8,4.99,0.95,45.9
DEL-0238,Dwarka Block-238,Dwarka,28.430699,76.976254,0.2683,0.4179,5.63,5.8,34.96,0.3534,37.5
DEL-0239,Rohini Block-239,Rohini,28.704008,77.071756,0.5805,0.124,14.11,15.6,17.16,0.95,45.1
DEL-0240,Dwarka Block-240,Dwarka,28.497929,76.920705,0.278,0.5042,7.61,9.1,37.58,0.5585,39.2
DEL-0241,Shahdara Block-241,Shahdara,28.833802,77.308404,0.149,0.5107,8.95,4.2,8.5,0.3886,36.6
DEL-0242,Narela Block-242,Narela,28.839729,77.144902,0.3046,0.4027,7.59,14.8,7.39,0.4934,38.4
DEL-0243,Rohini Block-243,Rohini,28.82254,76.967462,0.1254,0.4447,10.36,8.9,24.75,0.4799,37.0
DEL-0244,South Extension Block-244,South Extension,28.58287,77.175699,0.2747,0.3546,11.43,12.1,10.97,0.6113,40.5
DEL-0245,Vasant Kunj Block-245,Vasant Kunj,28.426801,77.15052,0.2572,0.6231,2.69,5.6,18.49,0.2966,35.3
DEL-0246,Narela Block-246,Narela,28.82846,77.028336,0.3669,0.3626,7.72,11.1,18.79,0.5908,41.9
DEL-0247,Dwarka Block-247,Dwarka,28.608401,76.913372,0.1641,0.6971,4.25,6.7,34.34,0.2916,34.9
DEL-0248,Narela Block-248,Narela,28.845328,77.175639,0.2044,0.4596,5.78,10.5,4.34,0.3798,37.0
DEL-0249,Narela Block-249,Narela,28.843993,77.104545,0.2683,0.6029,3.25,9.8,11.25,0.3503,36.5
DEL-0250,Ridge Forest Block-250,Ridge Forest,28.795324,77.22299,0.2604,0.4171,12.79,9.9,0.86,0.7155,37.9
DEL-0251,IGI Airport Area Block-251,IGI Airport Area,28.549558,77.104477,0.263,0.5661,7.39,8.1,18.82,0.5092,36.8
DEL-0252,Lajpat Nagar Block-252,Lajpat Nagar,28.589443,77.260525,0.586,0.0897,13.59,16.3,3.1,0.95,45.3
DEL-0253,Narela Block-253,Narela,28.7945,77.119396,0.3686,0.2584,9.0,14.5,10.78,0.6613,40.8
DEL-0254,IGI Airport Area Block-254,IGI Airport Area,28.559446,77.123641,0.3893,0.3245,3.75,13.6,16.66,0.487,40.0
DEL-0255,Okhla Industrial Block-255,Okhla Industrial,28.494577,77.272027,0.5615,0.0561,15.89,15.0,5.46,0.95,45.8
DEL-0256,Janakpuri Block-256,Janakpuri,28.664993,77.049637,0.4745,0.2426,17.91,9.4,19.9,0.95,45.2
DEL-0257,Rohini Block-257,Rohini,28.831908,76.922987,0.0953,0.4963,7.15,7.4,28.95,0.3941,35.2
DEL-0258,Rohini Block-258,Rohini,28.726253,76.873528,0.133,0.5049,7.98,7.2,35.65,0.2949,36.8
DEL-0259,Old Delhi Block-259,Old Delhi,28.670827,77.214915,0.4821,0.3058,10.0,15.9,4.51,0.8632,41.1
DEL-0260,Vasant Kunj Block-260,Vasant Kunj,28.462758,77.151545,0.2127,0.4318,7.6,7.8,17.52,0.4389,37.8
DEL-0261,Ridge Forest Block-261,Ridge Forest,28.690603,77.190917,0.0353,0.6462,1.0,8.2,5.85,0.0871,30.8
DEL-0262,Narela Block-262,Narela,28.855624,76.960093,0.2126,0.4697,2.74,8.4,25.28,0.3353,36.1
DEL-0263,Dwarka Block-263,Dwarka,28.481637,76.924095,0.3049,0.6027,8.53,9.0,37.97,0.5567,38.0
DEL-0264,Dwarka Block-264,Dwarka,28.648065,76.866836,0.2067,0.6166,6.65,3.4,37.77,0.4706,35.8
DEL-0265,Rohini Block-265,Rohini,28.806044,77.024776,0.4572,0.3835,20.02,15.3,19.61,0.95,45.8
DEL-0266,Pitampura Block-266,Pitampura,28.745938,77.137261,0.4561,0.3317,13.74,15.7,10.01,0.9406,44.1
DEL-0267,Rohini Block-267,Rohini,28.726687,77.044355,0.4452,0.136,10.6,15.7,19.22,0.8299,44.1
DEL-0268,Rohini Block-268,Rohini,28.729093,77.065613,0.5091,0.2049,11.38,13.8,17.13,0.9162,44.9
DEL-0269,Mayur Vihar Block-269,Mayur Vihar,28.578176,77.284955,0.4607,0.0779,11.98,16.7,1.48,0.8831,43.7
DEL-0270,Dwarka Block-270,Dwarka,28.54918,77.02368,0.4245,0.1904,13.49,14.4,26.2,0.894,43.8
DEL-0271,Rohini Block-271,Rohini,28.776119,77.101575,0.4453,0.2531,8.35,14.3,12.77,0.7079,42.8
DEL-0272,Ridge Forest Block-272,Ridge Forest,28.77645,77.228317,0.3346,0.2746,11.16,11.1,2.62,0.6918,40.6
DEL-0273,Rohini Block-273,Rohini,28.801512,77.046375,0.3936,0.2202,6.84,7.4,17.73,0.6661,40.3
DEL-0274,Narela Block-274,Narela,28.821826,77.152381,0.3102,0.1947,6.69,15.1,7.28,0.5269,39.5
DEL-0275,Yamuna Floodplains Block-275,Yamuna Floodplains,28.644991,77.265311,0.417,0.3727,14.34,11.3,0.72,0.8418,41.0
DEL-0276,Mayur Vihar Block-276,Mayur Vihar,28.640667,77.306275,0.3338,0.2017,11.7,12.3,3.44,0.7253,40.7
DEL-0277,Rohini Block-277,Rohini,28.77125,76.929125,0.1647,0.5341,8.69,3.2,29.45,0.4171,35.7
DEL-0278,Shahdara Block-278,Shahdara,28.705984,77.295496,0.3165,0.2378,6.6,7.9,4.48,0.5447,39.0
DEL-0279,Rohini Block-279,Rohini,28.728865,77.091295,0.4414,0.1924,11.25,18.3,14.66,0.87,42.8
DEL-0280,Rohini Block-280,Rohini,28.770149,76.981375,0.5307,0.0891,15.39,19.0,24.42,0.95,45.8
DEL-0281,Narela Block-281,Narela,28.811602,77.075794,0.3675,0.3659,10.58,12.7,14.66,0.667,42.0
DEL-0282,Mayur Vihar Block-282,Mayur Vihar,28.568718,77.320615,0.4987,0.1446,10.36,16.6,2.32,0.8671,43.1
DEL-0283,IGI Airport Area Block-283,IGI Airport Area,28.585256,77.091531,0.3864,0.3075,8.71,12.7,18.77,0.6696,41.4
DEL-0284,IGI Airport Area Block-284,IGI Airport Area,28.461352,77.014513,0.3263,0.4061,8.16,6.4,30.47,0.6684,40.9
DEL-0285,Ridge Forest Block-285,Ridge Forest,28.674443,77.157698,0.1597,0.5323,3.94,7.4,9.43,0.2816,34.6
DEL-0286,Dwarka Block-286,Dwarka,28.435815,76.972868,0.1647,0.3969,5.91,6.6,35.15,0.3891,38.3
DEL-0287,Dwarka Block-287,Dwarka,28.624863,76.895656,0.294,0.4388,8.92,10.3,35.52,0.6212,40.1
DEL-0288,Dwarka Block-288,Dwarka,28.658764,76.920573,0.1717,0.6423,1.4,6.7,32.41,0.2457,34.3
DEL-0289,Dwarka Block-289,Dwarka,28.546078,76.920182,0.3979,0.3614,3.64,10.4,36.01,0.548,39.2
DEL-0290,Rohini Block-290,Rohini,28.679967,76.931394,0.2112,0.4415,6.56,15.4,31.04,0.5095,37.9
DEL-0291,Dwarka Block-291,Dwarka,28.43342,76.925249,0.352,0.3455,8.21,10.5,39.71,0.5487,40.3
DEL-0292,Vasant Kunj Block-292,Vasant Kunj,28.436433,77.161211,0.0881,0.6888,1.0,9.0,17.17,0.1103,32.8
DEL-0293,Rohini Block-293,Rohini,28.781944,76.945484,0.3251,0.4175,10.86,9.6,27.75,0.6626,39.7
DEL-0294,Dwarka Block-294,Dwarka,28.578484,77.022464,0.5726,0.3735,7.58,8.6,25.4,0.8445,42.9
DEL-0295,Okhla Industrial Block-295,Okhla Industrial,28.475907,77.281491,0.2608,0.3926,8.47,10.2,4.75,0.4542,38.0
DEL-0296,Janakpuri Block-296,Janakpuri,28.649787,77.082762,0.4464,0.4694,12.99,12.4,17.22,0.9163,43.2
DEL-0297,Pitampura Block-297,Pitampura,28.758797,77.173752,0.3573,0.5189,6.06,12.3,6.52,0.5222,38.9
DEL-0298,Dwarka Block-298,Dwarka,28.514961,76.94099,0.2096,0.4237,8.94,11.8,35.06,0.4578,38.8
DEL-0299,Rohini Block-299,Rohini,28.694072,76.950376,0.1316,0.4596,4.97,15.7,28.88,0.3145,35.6
DEL-0300,Dwarka Block-300,Dwarka,28.457553,76.879208,0.2433,0.6711,1.08,3.0,43.07,0.354,35.3
